"","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"1",2,1,27.6450914072654,142.2,0.115215294106048,0.8,141.4,0,3,"none",56.2,85.4,0.396892655367232,0.603107344632768
"2",3,2,49.2559665652269,400.6,0.102598966379218,142.2,258.4,0,2,"none",42,216.6,0.162412993039443,0.837587006960557
"3",4,3,38.4264432067969,845.4,0.0585407514978535,400.6,444.8,0,7,"none",128.2,316.8,0.288089887640449,0.711910112359551
"4",5,4,43.2294096280637,1158.2,0.0755459078861778,845.4,312.8,0,3,"none",55.8,257.2,0.178274760383387,0.821725239616613
"5",6,5,29.2131739841093,1288.6,0.10292071955729,1158.2,130.4,0,2,"none",51,79.6,0.390505359877488,0.609494640122511
"6",8,7,33.1713957906403,1562.2,0.843057002768392,1288.6,273.6,0,2,"none",36.6,237.2,0.133674214755296,0.866325785244704
"7",10,9,15.1015764071437,1653.4,0.0451287426227944,1562.2,91.2,0,1,"none",71.2,20.2,0.778993435448578,0.221006564551422
"8",11,10,45.9014636079561,2050.2,0.055553680149333,1653.4,396.8,0,5,"none",78.4,318.6,0.197481108312343,0.802518891687657
"9",12,11,48.6238482162326,2393.4,0.0372866015641886,2050.2,343.2,1,3,"none",27.4,316,0.0797903319743739,0.920209668025626
"10",15,14,21.4627596801332,2556.6,0.93955470340238,2393.4,163.2,0,2,"none",95.6,67.8,0.585067319461444,0.414932680538556
"11",17,16,17.2677957663959,2671,0.0329366498458112,2556.6,114.4,0,3,"none",72.2,42.4,0.630017452006981,0.369982547993019
"12",19,18,32.5636396818538,3132.6,0.059132200634445,2671,461.6,0,8,"none",207,254.8,0.448245993936769,0.551754006063231
"13",20,19,32.0015674899338,3584.6,0.0414192640573048,3132.6,452,0,3,"none",70.6,381.6,0.156125608137992,0.843874391862008
"14",21,20,32.9277842339349,4014.2,0.02758915174442,3584.6,429.6,0,2,"none",47.8,382,0.111214518380642,0.888785481619358
"15",22,21,18.8242965858912,4312.6,0.00465222001973986,4014.2,298.400000000001,0,7,"none",120,178.6,0.401875418620228,0.598124581379772
"16",23,22,26.5783349935073,4786.2,0.0146307781860124,4312.6,473.599999999999,0,4,"none",72.8,401,0.153651329674968,0.846348670325032
"17",24,23,20.9437314916776,5095.8,0.0374805937161837,4786.2,309.6,0,1,"none",30,279.8,0.0968366688185926,0.903163331181407
"18",25,24,21.2611778231726,5327,0.00461183960214084,5095.8,231.2,0,4,"none",101.6,129.8,0.439066551426102,0.560933448573898
"19",26,25,39.1829920858884,5680.6,0.0214413742376047,5327,353.6,0,4,"none",81.4,272.4,0.230073487846241,0.769926512153759
"20",27,26,25.8031426512321,6071,0.0213725690184154,5680.6,390.4,0,4,"none",84.6,306,0.216589861751152,0.783410138248848
"21",28,27,27.7022401625227,6489.4,0.0211507623269749,6071,418.4,0,3,"none",75.4,343.2,0.180124223602484,0.819875776397516
"22",38,37,34.5096358682172,6864.6,0.0984497472778729,6489.4,375.200000000001,3,5,"none",260.4,115,0.693660095897709,0.306339904102291
"23",40,39,40.2415980157214,7302.2,-0.009517962743538,6864.6,437.599999999999,1,6,"none",229.4,208.4,0.523983554134308,0.476016445865692
"24",41,40,37.1952126677312,7492.6,2.37681771690401,7302.2,190.400000000001,1,2,"none",26.8,163.8,0.140608604407135,0.859391395592865
"25",42,41,19.179302566514,7574.2,-0.00509471479589418,7492.6,81.5999999999995,0,2,"none",50.8,31,0.621026894865526,0.378973105134474
"26",43,42,28.4812383727958,7771.8,-0.00238307298458773,7574.2,197.6,1,4,"none",69.6,128.2,0.351870576339737,0.648129423660263
"27",45,44,18.7356728100852,7986.2,-0.0340861996199924,7771.8,214.4,1,4,"none",142,72.6,0.661696178937558,0.338303821062442
"28",46,45,19.253830408212,8126.2,-0.0247392191393723,7986.2,140,1,NA,"none",58.4,81.8,0.416547788873039,0.583452211126961
"29",48,47,19.0889779570692,8317.4,0.00462884148041764,8126.2,191.2,1,2,"none",100.2,91.2,0.523510971786834,0.476489028213166
"30",50,49,23.7846909957883,8751,-0.0275267211542554,8317.4,433.6,1,7,"none",212.8,221,0.490548639926233,0.509451360073767
"31",52,51,10.09728291921,8905.4,0.0109339090760296,8751,154.4,3,5,"none",153.4,1.2,0.992238033635188,0.00776196636481242
"32",56,55,39.2879442272714,9139,0.00491326259937663,8905.4,233.6,1,5,"none",185,48.8,0.791274593669803,0.208725406330197
"33",58,57,55.8273342519963,9623.8,-0.0037145037422821,9139,484.799999999999,0,6,"none",117,368,0.241237113402062,0.758762886597938
"34",61,60,34.1057531835529,9925.4,1.74264117065197,9623.8,301.6,1,5,"none",175,126.8,0.579854208084824,0.420145791915176
"35",67,66,52.8607142934877,10462.2,-0.00291460644468033,9925.4,536.800000000001,1,4,"none",274.8,262.2,0.511731843575419,0.488268156424581
"36",77,76,43.1277367176756,11258.2,-0.0432397772315971,10462.2,796,0,5,"none",539,257.2,0.676965586536046,0.323034413463954
"37",78,77,18.1451442409093,11659.8,-0.0634785132648874,11258.2,401.599999999999,0,4,"none",99.8,302,0.248382279741165,0.751617720258835
"38",79,78,26.8501755110296,12103.8,-0.0733856980957435,11659.8,444,0,8,"none",225,219.2,0.506528590724899,0.493471409275101
"39",80,79,55.7032564721813,12591,-0.0492762608919781,12103.8,487.200000000001,0,3,"none",65.4,422,0.134181370537546,0.865818629462454
"40",81,80,20.0539518596047,12759,-0.0366841071906849,12591,168,0,2,"none",51.8,116.4,0.307966706302021,0.692033293697979
"41",82,81,13.5788077115672,12994.2,-0.0648749613771122,12759,235.200000000001,0,2,"none",84,151.4,0.356839422259983,0.643160577740017
"42",83,82,17.27200996728,13222.2,-0.0398057039949244,12994.2,228,0,3,"none",50,178.2,0.219106047326906,0.780893952673094
"43",85,84,13.2520617594554,13359.8,-0.038127937508432,13222.2,137.599999999999,1,1,"none",99.6,38.2,0.722786647314949,0.277213352685051
"44",86,85,13.3313867735436,13427,0.369086946426044,13359.8,67.2000000000007,1,1,"none",38.8,28.6,0.57566765578635,0.42433234421365
"45",87,86,16.8023694116125,13525.4,-0.0524328378502297,13427,98.3999999999996,0,1,"none",25.4,73.2,0.257606490872211,0.742393509127789
"46",88,87,17.0447798938939,13716.6,-0.0247738705170648,13525.4,191.200000000001,0,3,"none",39.2,152.2,0.204806687565308,0.795193312434692
"47",90,89,17.659586097515,13844.6,-0.0640419060349107,13716.6,128,0,1,"none",71.4,56.8,0.556942277691108,0.443057722308892
"48",91,90,14.0402440975121,13977.4,-0.0416112087014184,13844.6,132.799999999999,1,2,"none",82.6,50.4,0.621052631578947,0.378947368421053
"49",92,91,17.0978656180916,14103.8,-0.03844354041681,13977.4,126.4,0,1,"none",42.6,84,0.336492890995261,0.663507109004739
"50",93,92,18.7568027563054,14292.6,-0.087947681695518,14103.8,188.800000000001,1,1,"none",43,146,0.227513227513228,0.772486772486772
"51",94,93,19.0456624192837,14539,-0.0724156253466406,14292.6,246.4,0,6,"none",136.6,110,0.553933495539335,0.446066504460665
"52",95,94,16.8730271643584,14658.2,-0.0608681573360554,14539,119.200000000001,1,1,"none",30.8,88.6,0.257956448911223,0.742043551088777
"53",96,95,17.3764263482781,14755.8,-0.0503482104137474,14658.2,97.5999999999985,1,1,"none",35.6,62.2,0.3640081799591,0.6359918200409
"54",97,96,16.8723881134704,14858.2,-0.0471155640788132,14755.8,102.400000000001,1,1,"none",30.2,72.4,0.294346978557505,0.705653021442495
"55",98,97,17.7439365563825,14960.6,-0.0537093732086089,14858.2,102.4,1,1,"none",36.2,66.4,0.352826510721248,0.647173489278752
"56",99,98,16.079417196654,15068.6,-0.0604360110613498,14960.6,108,0,2,"none",51.8,56.4,0.478743068391867,0.521256931608133
"57",100,99,20.9009672315123,15234.2,-0.0376032388571108,15068.6,165.6,0,1,"none",26.6,139.2,0.16043425814234,0.83956574185766
"58",101,100,17.040517238144,15375,-0.0712064216628949,15234.2,140.799999999999,1,5,"none",111.6,29.4,0.791489361702128,0.208510638297872
"59",102,101,14.7467003112242,15603.8,-0.0888676046186334,15375,228.799999999999,0,3,"none",99.2,129.8,0.433187772925764,0.566812227074236
"60",103,102,20.5540004856383,16096.6,-0.119414589251412,15603.8,492.800000000001,0,4,"none",92.6,400.4,0.187829614604462,0.812170385395538
"61",104,103,12.6613417034647,16135.8,-0.0709038206827608,16096.6,39.1999999999989,1,NA,"none",34,5.4,0.862944162436548,0.137055837563452
"62",105,104,19.0835070407557,16373.4,-0.036604378425058,16135.8,237.6,1,1,"none",90,147.8,0.378469301934399,0.621530698065601
"63",106,105,13.7464687139142,16487.8,-0.0273202075725338,16373.4,114.4,2,1,"none",80.4,34.2,0.701570680628272,0.298429319371728
"64",107,106,16.5497812858259,16621.4,-0.0721261552926453,16487.8,133.600000000002,1,2,"none",94.2,39.6,0.704035874439462,0.295964125560538
"65",109,108,12.8616165331965,16705.4,-0.0648312285916446,16621.4,84,1,1,"none",73.8,10.4,0.876484560570071,0.123515439429929
"66",110,109,12.5591915401026,16747,-0.0423250814549938,16705.4,41.5999999999985,1,1,"none",34.4,7.4,0.822966507177034,0.177033492822967
"67",112,111,15.5756165008486,16873.4,-0.0697573244174716,16747,126.400000000001,1,1,"none",98.8,27.8,0.780410742496051,0.219589257503949
"68",113,112,16.9558488043332,17036.6,-0.0913156810591089,16873.4,163.199999999997,0,1,"none",65,98.4,0.397796817625459,0.602203182374541
"69",126,125,10.1616324492795,17649.4,-0.0862877065742254,17036.6,612.800000000003,7,1,"none",611.8,1.2,0.998042414355628,0.00195758564437194
"70",128,127,12.3234670231281,17775,-0.044765146173003,17649.4,125.599999999999,2,1,"none",106.8,19,0.848966613672496,0.151033386327504
"71",129,128,10.8716880846313,17818.2,-0.0439595156150809,17775,43.2000000000007,1,1,"none",36.6,6.8,0.84331797235023,0.15668202764977
"72",135,134,14.2626427666348,18391.8,-0.0908255265936635,17818.2,573.599999999999,3,4,"none",559,14.8,0.97420704078076,0.0257929592192402
"73",137,136,78.2335078998828,19390.2,-0.132828532983671,18391.8,998.400000000001,1,8,"none",560.2,438.4,0.560985379531344,0.439014620468656
"74",138,137,26.948405650385,19809.4,-0.105141780959446,19390.2,419.200000000001,1,6,"none",234,185.4,0.55793991416309,0.44206008583691
"75",139,138,16.6076476614489,20285.4,-0.0717325162886358,19809.4,476,0,7,"none",189.6,286.6,0.398152036959261,0.601847963040739
