,X,ans,p,tempr,pitch,roll,head,flownoise,Aw1,Aw2,Aw3,pnorm,speedFN,speedSP,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
47148,47148,0.479310431,22.41604171,5.263261598,68.0146573,-26.6495145,193.6093937,-65.28015505,0.479310431,-0.318641772,0.634941796,0.341875934,2.889711098,2.742224985,47148,9429.6,-1.402504561,13.55791786,40,lunge,3.60404111,26.20058401,3.43614565,1,2.454241347,22.5965429,mn13_111a,4/21/2013 11:21,57.743249,-135.257869
48250,48250,1.062275855,12.42945623,5.531233572,165.0357057,133.7980365,163.9208332,-59.68455222,1.062275855,0.100699363,-0.096560593,0.189566562,2.715032634,2.879783114,48250,9650,0.700178067,11.53913421,42,lunge,2.362591171,16.63156297,2.906540605,1,2.216343036,14.2689718,mn13_111a,4/21/2013 11:25,57.744815,-135.262471
51107,51107,0.643732714,27.15553176,5.534472399,94.70073569,-35.02455615,109.993091,-62.27801922,0.643732714,-0.340323223,0.485588854,0.414159774,2.711681837,2.414003241,51107,10221.4,-1.223683931,14.31714799,45,lunge,7.471627321,30.53137073,3.17290768,1.278281652,1.894626028,23.05974341,mn13_111a,4/21/2013 11:34,57.741294,-135.248887
55120,55120,1.021702462,8.487863678,5.396538396,150.652356,-106.1844297,-39.90213342,-60.09405228,1.021702462,-0.256937004,-0.074571389,0.129451772,2.584121675,NA,55120,11024,0.55064625,11.7322161,48,lunge,2.801294846,12.12239644,2.677712228,1.261163993,1.416548235,9.321101596,mn13_111a,4/21/2013 11:48,57.743904,-135.2593
56413,56413,1.040147939,13.62015095,5.513157167,142.2336357,-39.03698025,-43.29632803,-56.98250933,1.040147939,-0.224078756,0.276349332,0.207726319,3.12470647,2.990355777,56413,11282.6,0.973922948,12.70089643,53,lunge,2.270230342,16.8702239,3.328670778,1.127726546,2.200944232,14.59999356,mn13_111a,4/21/2013 11:52,57.743186,-135.256991
57734,57734,1.222833918,14.70530483,5.813763592,160.5470375,122.8651219,135.4237579,-63.69564172,1.222833918,0.176057429,-0.113744692,0.22427643,2.542720757,2.970550257,57734,11546.8,2.360145967,12.56745004,55,lunge,2.341678025,18.33753284,2.896961366,1.126749399,1.770211967,15.99585482,mn13_111a,4/21/2013 11:56,57.742927,-135.249894
60840,60840,1.144746007,13.4195383,5.364118224,148.1229362,68.54411317,184.2493517,-62.39442308,1.144746007,0.304266092,0.119583073,0.204666696,2.857801759,3.160562617,60840,12168,1.868295063,11.3772849,58,lunge,4.16392118,17.59470461,2.970619428,1,2.114072734,13.43078343,mn13_111a,4/21/2013 12:07,57.741906,-135.247464
62262,62262,0.821325791,5.154145473,5.614897981,-45.70734644,-54.00135922,-2.948047542,-58.80117824,0.821325791,-0.463336671,0.899105422,0.078607915,2.76882528,NA,62262,12452.4,2.970807138,22.36571708,59,lunge,3.850157103,5.154145473,2.999476289,1.062681835,1.936794454,1.30398837,mn13_111a,4/21/2013 12:12,57.741557,-135.244316
64427,64427,0.586011395,15.59913719,5.182943299,28.44357974,-39.5453642,-127.265552,-64.92789747,0.586011395,-0.153222401,0.611778144,0.237908622,2.811142355,NA,64427,12885.4,-1.364047225,16.26205734,60,lunge,4.485184628,20.06062929,3.253809394,1,2.255491985,15.57544466,mn13_111a,4/21/2013 12:19,57.739401,-135.238184
66558,66558,0.422423342,13.47262239,5.317506801,51.17546108,-39.12236913,-57.1312706,-73.43640874,0.422423342,-0.27295939,0.576668204,0.205476302,2.087464159,NA,66558,13311.6,-2.302835402,22.98085711,63,lunge,1.556775496,17.09343209,3.117608121,1.230192549,1.887415572,15.53665659,mn13_111a,4/21/2013 12:26,57.739986,-135.242041
