"","X.1","X","Aw2.1","Aw2.2","Aw2.3","JiggleRMS","head2","p2","pitch2","roll2","speedJJ","r","sec","p","MSA","jerk","dive","pitch","roll","head","speedFN","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag"
"6195",6195,6195,0.359086427764183,-0.0927296961652577,0.659001660797841,-38.7763841640251,-1.48876112222649,151.115267789072,0.49480719986186,-0.139794564818564,5.02478953518989,6195,1239,151.115267789072,-2.3909481058546,12.1470118039048,"3",56.7007284495416,-8.00963856297174,-85.299729006738,5.02478953518989,"lunge",141.250013074281,153.693938409237,6.33240483643638,2.40587189647573,3.92653293996065,12.443925334956,"mn12_262b"
"6372",6372,6372,0.922418896235893,-0.243042264737702,0.640178531070318,-37.0875813222525,-1.97895973759046,147.122418161166,0.932206655389464,-0.362839069455101,5.37139507195543,6372,1274.4,147.122418161166,1.45928617710022,11.5110504353972,"3",106.823013975645,-20.7891473222314,-113.38604079025,5.37139507195543,"lunge",138.716267626014,148.663088278364,6.73960790597413,2.40443659686658,4.33517130910755,9.94682065235,"mn12_262b"
"6537",6537,6537,-0.0164862589810669,-0.236159049911239,0.856692146828998,-34.2897581629758,-1.707999651895,151.456536530633,-0.0185499731255414,-0.268983276137411,5.99901738809728,6537,1307.4,151.456536530633,-1.09050561451716,12.3429826129119,"3",-2.12567034034925,-15.4116064822756,-97.8611714633973,5.99901738809728,"lunge",145.672610299721,152.161114809967,6.52569119791769,1.90831097091663,4.61738022700106,6.488504510246,"mn12_262b"
"6709",6709,6709,0.270712437993615,-0.0706586093142081,0.919947473425906,-38.8198482534342,1.6802481615509,147.176745854865,0.285395659521061,-0.0766567162800463,5.01617068610933,6709,1341.8,147.176745854865,-0.377051340170016,9.95110883292692,"3",32.7039335638189,-4.39210631417844,96.2711281914823,5.01617068610933,"lunge",138.477579411998,149.91891644412,6.24489959213738,2.12855744218401,4.11634214995337,11.441337032122,"mn12_262b"
"6853",6853,6853,0.118970737134967,-0.254705365233919,0.768267718704441,-37.1277367214786,1.90650195169107,148.25909449234,0.14594330397456,-0.320128516678434,5.36288251110251,6853,1370.6,148.25909449234,-1.7839702630858,11.7595396852181,"3",16.7238707318743,-18.3420129074577,109.234515465353,5.36288251110251,"lunge",142.438804726623,149.591895288746,6.42357058220478,2.43308913475978,3.990481447445,7.153090562123,"mn12_262b"
"7039",7039,7039,-0.517698203643175,-0.164872689704025,0.702787424757285,-41.0636033960155,2.65275605085632,152.51625436029,-0.622153316114534,-0.230431188018872,4.59074953716191,7039,1407.8,152.51625436029,-1.09524985957169,9.5409080459324,"3",-71.2935184468627,-13.2027345416669,151.991725791859,4.59074953716191,"lunge",151.432824314366,160.21312148285,6.8420282389552,2.07557885472893,4.76644938422627,8.780297168484,"mn12_262b"
"7232",7232,7232,0.0337519726462431,-0.131329422729001,0.951986922926417,-40.1675902650236,-1.71495617945688,148.070010928354,0.0351071842926443,-0.13708769952115,4.75612807782458,7232,1446.4,148.070010928354,-0.376620465217567,11.2874684721749,"3",4.02298698111299,-7.85454660571949,-98.2597511327594,4.75612807782458,"lunge",139.744732682256,150.023800270247,6.62607186957551,2.05401726479023,4.57205460478528,10.279067587991,"mn12_262b"
"7394",7394,7394,0.987552117838526,-0.18338042984145,0.823827787176101,-35.1438047360139,-2.42743674324189,145.158761804469,0.863620903179807,-0.219024712363744,5.80002760322195,7394,1478.8,145.158761804469,2.93286321090351,16.4625630247654,"3",98.9636657029585,-12.5491916275094,-139.081880422742,5.80002760322195,"lunge",131.972350816236,147.367055706741,6.8229528506431,2.0456178496935,4.7773350009496,15.394704890505,"mn12_262b"
"8890",8890,8890,0.0406619206055098,-0.0619004323476533,0.978753326595731,-40.9153854789888,2.32000137386699,147.992770959237,0.0414380339338213,-0.0631600403217848,4.61770393998099,8890,1778,147.992770959237,-0.180919069132216,11.3822790953048,"4",4.7484489114557,-3.61880374431437,132.926287187131,4.61770393998099,"lunge",141.417275487532,148.785246726673,5.99915144289625,2.18326308677395,3.8158883561223,7.36797123914099,"mn12_262b"
"9033",9033,9033,0.298187322819223,-0.183695056190146,0.915643963501209,-34.6339580282926,2.80946421602931,149.370337062762,0.309064652882319,-0.197990135181648,5.91801169226902,9033,1806.6,149.370337062762,-0.192814216866941,11.935040697296,"4",35.4162004136653,-11.3439991311331,160.97044227151,5.91801169226902,"lunge",141.334580052295,150.868777676508,6.83059995362718,2.38503482315737,4.44556513046981,9.53419762421299,"mn12_262b"
"9219",9219,9219,0.290358658719283,-0.105880593348828,0.702137883993369,-40.3357808699664,0.475289690418135,147.334736159044,0.388165389625246,-0.14966974574519,4.7246370327776,9219,1843.8,147.334736159044,-2.2834954773453,13.0573064164432,"4",44.4804771571556,-8.5754447519955,27.2320933070386,4.7246370327776,"lunge",138.467999006442,149.746672688203,6.69888967468989,2.46394912179067,4.23494055289922,11.278673681761,"mn12_262b"
"9394",9394,9394,0.738668352242464,-0.109830860024128,1.05689794888087,-35.7355279877446,-1.74442350766999,144.258871523445,0.607469458325692,-0.103546466820415,5.66604234903764,9394,1878.8,144.258871523445,2.88425783324706,11.728478485648,"4",69.6108722903208,-5.93277553230119,-99.9481046728974,5.66604234903764,"lunge",135.893171298393,146.214313788884,6.23346130100119,2.49026921505822,3.74319208594297,10.321142490491,"mn12_262b"
"9543",9543,9543,0.315496570612186,-0.0472212600029549,0.793761282790234,-34.588887294449,1.99106595743317,142.726543658807,0.377717810431391,-0.0594204728561779,5.92855630458287,9543,1908.6,142.726543658807,-1.41737812814478,15.0556722394662,"4",43.2832727692824,-3.40454231133066,114.079676093095,5.92855630458287,"lunge",133.150468106989,145.179103079495,6.18638875326669,2.32914030771386,3.85724844555283,12.028634972506,"mn12_262b"
"9725",9725,9725,-0.402665545055158,-0.0710488234745943,0.847201663337484,-35.8103811518878,3.08757668612451,151.312065677569,-0.442326932929232,-0.0836671644187439,5.64931520950452,9725,1945,151.312065677569,-0.581421523588004,16.691852188601,"4",-50.6869328436225,-4.79377540502116,176.905113037923,5.64931520950452,"lunge",145.476506930509,151.763602074253,5.90537638391799,2.37394751145241,3.53142887246558,6.28709514374398,"mn12_262b"
"9911",9911,9911,0.835048951285727,-0.21858332560196,0.885344546808016,-34.9859381762402,0.442632324331212,148.938255891228,0.741419346117855,-0.242050119075619,5.83630603065417,9911,1982.2,148.938255891228,2.31922568565366,13.9809640222953,"4",84.9603987638046,-13.868450253672,25.3609640602443,5.83630603065417,"lunge",140.622615092746,150.767024325512,6.39254072841618,2.26386210334684,4.12867862506934,10.144409232766,"mn12_262b"
"10083",10083,10083,0.399360955942557,-0.0576235112513724,0.806556410165916,-31.2324353655853,-1.38453278307272,146.28361095315,0.458743168849655,-0.0713226856032678,6.76900016246296,10083,2016.6,146.28361095315,-0.962471250605481,12.7471858781275,"4",52.568094911085,-4.08648886860572,-79.3278850675688,6.76900016246296,"lunge",137.454469855681,149.113187431324,6.76900016246296,2.44523098554606,4.3237691769169,11.658717575643,"mn12_262b"
"10248",10248,10248,0.365955093858482,-0.116899272701303,0.776869525706134,-35.406759542516,1.78483380419849,144.04701623252,0.435931350140103,-0.149354249936078,5.74009938736604,10248,2049.6,144.04701623252,-1.30753228938895,16.4079914340572,"4",49.9540530409353,-8.55736817367931,102.263444112853,5.74009938736604,"lunge",135.765320346388,146.408276901176,7.17941711377438,2.17778839098102,5.00162872279336,10.642956554788,"mn12_262b"
"10403",10403,10403,1.02430456667742,-0.0155221311132304,0.75037302885982,-37.4873167212088,-0.296617993723476,144.885863649678,0.938443203760098,-0.0206829364606776,5.28725375752194,10403,2080.6,144.885863649678,2.64625284278035,18.0743617734552,"4",107.537669776378,-1.18504496713408,-16.9949591679931,5.28725375752194,"lunge",130.270303141893,145.717605956734,6.63354601467502,2.17100206646878,4.46254394820624,15.447302814841,"mn12_262b"
"11662",11662,11662,0.0669520679275186,0.10297148048379,0.893968814817084,-31.4538035440561,-1.26465339396039,145.08157875282,0.0742643073915881,0.114679257787742,6.71007293553243,11662,2332.4,145.08157875282,-0.957454048508682,10.8092504481399,"5",8.5100627640004,6.57063746893039,-72.4593020208257,6.71007293553243,"lunge",136.674259579985,147.290798134114,6.92131392983055,2.612084839168,4.30922909066255,10.616538554129,"mn12_262b"
"11796",11796,11796,-0.139061825116194,-0.0317874250217449,1.03873866878217,-39.9371336018239,-0.744976731946451,145.040829918856,-0.133022808904048,-0.0305923990270482,4.79961858265249,11796,2359.2,145.040829918856,0.475502822460474,9.97989019655057,"5",-15.2432910583544,-1.75281534942999,-42.6840225759805,4.79961858265249,"lunge",136.675882279716,145.706162878114,5.93770537627425,2.32017738142611,3.61752799484814,9.03028059839798,"mn12_262b"
"12003",12003,12003,-0.468381939861383,-0.128146480464286,0.796786181528715,-42.4375508928185,2.605696397136,157.155618711786,-0.525868677089357,-0.159463655271171,4.34825808719179,12003,2400.6,157.155618711786,-0.656087107274197,13.5815916265348,"5",-60.2601115506962,-9.13659443276718,149.295406248337,4.34825808719179,"lunge",155.782633511306,158.238111026517,5.99595282917296,1.8846731665676,4.11127966260536,2.45547751521102,"mn12_262b"
"12195",12195,12195,0.251227681854793,-0.0673104650116445,0.981062410002248,-36.375671392943,-1.60288514646809,155.203885945024,0.2501264027655,-0.0685024161262325,5.52457644079214,12195,2439,155.203885945024,0.146638387872216,13.6044842260374,"5",28.662374446505,-3.92489933048203,-91.8385539368304,5.52457644079214,"lunge",145.965682389615,157.159036975809,6.25179307823654,2.34183856744408,3.90995451079246,11.193354586194,"mn12_262b"
"12390",12390,12390,-0.461358738731607,-0.0151860603438429,0.827113400843781,-46.6861458020939,2.70537665746053,158.704088153284,-0.508735555667687,-0.0183582496197312,3.67651365158216,12390,2478,158.704088153284,-0.517732934154748,11.0714967414178,"5",-58.2968004560024,-1.05185022245825,155.006664465698,3.67651365158216,"lunge",156.009010672986,159.41413506783,5.32333908171749,1.93274307099463,3.39059601072286,3.40512439484399,"mn12_262b"
"12582",12582,12582,0.676981106587372,-0.019362236325243,1.05112124339112,-37.0307135915908,-0.627059641299293,158.879214291827,0.572108198790707,-0.0184184716226985,5.38347361017976,12582,2516.4,158.879214291827,2.45571857794698,9.70896192612288,"5",65.558770431078,-1.0553006890621,-35.9278709494368,5.38347361017976,"lunge",155.343875883703,158.879214291827,5.84705830068221,2.0719452122855,3.77511308839671,3.53533840812401,"mn12_262b"
"12782",12782,12782,-0.43396796664746,-0.0778052078449742,0.836554876809305,-37.136402140415,2.53582954302075,158.261872870947,-0.476781538395687,-0.092739905652925,5.36104729558345,12782,2556.4,158.261872870947,-0.533240390759337,11.9153735196999,"5",-54.635139799655,-5.31360518635405,145.292330379677,5.36104729558345,"lunge",156.017365944215,158.765643475905,5.65983267751514,1.80531282654103,3.85451985097411,2.74827753169001,"mn12_262b"
"12974",12974,12974,-0.0956124327720141,-0.0673713207627745,0.839497719536848,-36.997475151872,-0.689188652801131,157.145077987191,-0.113043439544323,-0.0800803187022911,5.39054592974489,12974,2594.8,157.145077987191,-1.49446812923912,13.2070916783184,"5",-12.953823975064,-4.58826428370383,-39.4876010938118,5.39054592974489,"lunge",151.94879292084,157.8565451771,5.66741621339654,2.00542244347708,3.66199376991946,5.90775225626001,"mn12_262b"
"13177",13177,13177,0.33402877376279,-0.0526074187423909,0.726189836372096,-35.39829728897,2.98045171649043,154.079402480515,0.430124907506423,-0.0723167372124342,5.7420182839671,13177,2635.4,154.079402480515,-1.95095137342611,11.8289211642974,"5",49.2886837271459,-4.14344383042915,170.767304397423,5.7420182839671,"lunge",144.834029496259,156.661445787547,5.80741700461584,2.27740303583348,3.53001396878236,11.827416291288,"mn12_262b"
"13333",13333,13333,1.0398751324771,-0.292645595107005,0.787593153182669,-29.901283079,0.436560581645419,148.753961602692,0.891204551879643,-0.355759722948869,7.13442068202296,13333,2666.6,148.753961602692,3.30379840255638,28.322491392417,"5",102.124519011103,-20.3835306457136,25.0130788300589,7.13442068202296,"lunge",134.020432322378,150.047408068166,7.13442068202296,2.15241740410132,4.98200327792164,16.026975745788,"mn12_262b"
