,X,Temp,Aw.1,Aw.2,Aw.3,pitch,roll,roll2,n2,head,head2,JigRMS,speedFN,speedJJ,speedFNexp,speedSP,rollrate,TspeedFN,TspeedJJ,p,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
71281,87780,4.694541916,0.758109841,-0.208009392,-0.836127482,82.68733491,13.97028051,-0.142656570754991+0i,1,-125.8302537,0.945440429,-22.66427093,3.672578729,3.773568912,4.058425837,NA,-0.122249555,3.672578729,3.773568912,70.98511348,71281,14256.2,1.44798213,12.01377476,61,lunge,55.86548611,74.9694795,3.869468338,1.424912804,2.444555534,19.10399339,mn14_113b,4/23/2014 16:31,57.672715,-134.028015
71657,88156,4.61751699,1.285522093,0.228966132,-0.474185296,135.450361,-25.77413807,-0.738014924480926+0i,1,-30.15577203,2.615275143,-27.17615026,3.370083685,3.13952958,3.510524776,1.719515638,0.051966282,3.370083685,3.13952958,72.00283599,71657,14331.4,3.81663381,12.81294731,61,lunge,52.50445232,73.60480603,3.648925964,1,2.705225406,21.10035371,mn14_113b,4/23/2014 16:33,57.67353,-134.031277
72492,88991,4.934176418,0.824245128,-0.054015416,-0.291745506,140.4052642,10.48928775,-0.0303660049504084+0i,1,-76.19206652,1.811790229,-37.11451269,2.315553701,2.093606787,2.117374226,1.687875206,-0.014477666,2.315553701,2.093606787,70.38386046,72492,14498.4,-1.21581673,7.848143894,62,lunge,59.73328384,73.98541317,3.074914561,1,2.565403688,14.25212933,mn14_113b,4/23/2014 16:36,57.674657,-134.034384
72825,89324,4.763995569,0.202061171,-0.287991544,-0.832458066,25.83903669,19.08322604,-0.261738642528388+0i,1,-98.78278645,1.417507786,-21.45357347,3.097107186,3.964505221,3.079873133,NA,0.07649213,3.097107186,3.964505221,75.34220828,72825,14565,-0.943943146,9.533951027,62,lunge,59.36101665,77.63980409,3.129146915,1.040574136,2.088572779,18.27878744,mn14_113b,4/23/2014 16:37,57.675179,-134.035066
73127,89626,4.673256309,1.176564767,0.004892412,-0.57403223,127.9839429,-0.488313693,-0.00647654816555814+0i,1,-14.76886477,2.883827337,-19.64500524,3.427306379,4.267874614,3.608169756,4.431485139,0.013076463,3.427306379,4.267874614,75.28408157,73127,14625.4,3.03160549,17.70280953,62,lunge,56.85683642,78.40162607,3.466501279,1,2.676971761,21.54478965,mn14_113b,4/23/2014 16:38,57.675564,-134.036086
74204,90703,4.968295191,1.15647962,0.143993066,-0.513129201,130.5158972,-15.67505251,-0.159011906396574+0i,1,-54.73814323,2.186231828,-21.49209142,3.69627733,3.958284377,4.104801317,NA,0.062634746,3.69627733,3.958284377,77.11625852,74204,14840.8,2.680880623,12.68414338,63,lunge,57.46144969,79.43444029,3.728056861,1,2.922247143,21.9729906,mn14_113b,4/23/2014 16:41,57.674092,-134.0349
74601,91100,4.786463409,0.975423863,-0.048712443,-0.414073022,133.7130612,6.709559683,-0.00525352721450054+0i,1,-18.3228179,2.821799153,-20.71742701,3.625331369,4.085293508,3.967525807,NA,0.032500088,3.625331369,4.085293508,77.80885912,74601,14920.2,0.596172412,12.2301835,63,lunge,59.21282674,79.32808975,3.627570092,1.244757503,2.382812589,20.11526301,mn14_113b,4/23/2014 16:43,57.674386,-134.036922
74952,91451,4.688873705,0.900696584,0.15791723,-0.345590967,134.2547836,-24.55795365,0.0586402296889445+0i,1,-65.61806722,1.996341332,-19.69369667,3.557748927,4.259410698,3.841030292,4.40683143,0.101042102,3.557748927,4.259410698,77.18907827,74952,14990.4,-0.220052444,11.13715435,63,lunge,55.23038082,80.15970363,3.636705428,1.037473081,2.599232347,24.92932281,mn14_113b,4/23/2014 16:44,57.674481,-134.038916
76239,92738,4.855480584,0.332635149,-0.196122948,-1.043454843,34.79119131,10.64485823,-0.182192111859023+0i,1,-165.1801323,0.258655487,-33.66516573,2.84939446,2.409736402,2.734979275,NA,-0.039365564,2.84939446,2.409736402,69.97164014,76239,15247.8,1.10435925,11.21104798,64,lunge,54.6767877,72.34828279,3.563541196,1.18137999,2.382161206,17.67149509,mn14_113b,4/23/2014 16:48,57.674118,-134.04142
76492,92991,4.755849618,1.275376405,-0.055959691,-0.66011413,125.1016403,4.845535681,0.165669471188935+0i,1,147.0061111,-0.575851994,-18.68104028,3.62741967,4.43894429,3.971500183,NA,0.014704009,3.62741967,4.43894429,64.37781553,76492,15298.4,4.287205648,21.18840155,64,lunge,45.82032955,66.93679541,3.724120827,1.690201105,2.033919722,21.11646586,mn14_113b,4/23/2014 16:49,57.673153,-134.04105
