v(),X.1,X,ans,p,tempr,pitch,roll,head,flownoise,speedSP,speedFN,Aw1,Aw2,Aw3,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime,p2,pitch2
19,45797,45797,0.80339059,21.51335993,5.167696463,114.9870101,85.43031645,-42.06007938,-77.18461581,2.244080584,1.954019967,0.80339059,0.510316913,0.040787368,45797,9159.4,-0.464440722,9.302759573,48,lunge,0.638469533,24.28532082,3.641772085,1.30622564,2.335546445,23.64685129,mn13_108a,2013-04-18 16:55:00,NA,NA
20,47066,47066,0.895015984,7.275648263,5.277564132,154.3776483,-130.2285535,132.3226992,-72.34150517,NA,2.492272803,0.895015984,-0.155387047,-0.13144503,47066,9413.2,-0.805467147,8.558019131,51,lunge,0.451401498,10.73307168,2.97173214,1.108728822,1.863003318,10.28167018,mn13_108a,2013-04-18 16:59:00,NA,NA
21,51965,51965,0.749731551,25.98766093,4.973540648,97.92526617,53.93698862,-135.166736,-85.50458163,1.199067848,1.4454095,0.749731551,0.527534737,0.384163535,51965,10393,-0.059156014,7.42850495,55,lunge,2.254160381,26.96009073,3.622702738,1.178817484,2.443885253,24.70593035,mn13_108a,2013-04-18 17:15:00,NA,NA
22,53484,53484,0.730487471,19.62087631,5.165186424,99.72984981,22.56141708,30.17316517,-85.6991012,1.593211913,1.38612398,0.730487471,0.236301563,0.56875727,53484,10696.8,-0.43662708,6.64834897,57,lunge,0.44258358,21.45657625,2.510473261,1.104657147,1.405816114,21.01399267,mn13_108a,2013-04-18 17:20:00,NA,NA
23,54950,54950,0.646262773,24.75475161,5.104274111,84.86416704,37.58491016,-155.847501,-78.2536825,2.062865784,1.820851958,0.646262773,0.431196199,0.560224831,54950,10990,-0.413550083,8.715165214,59,lunge,0.482827112,26.73952316,3.712919205,1.304471842,2.408447363,26.25669605,mn13_108a,2013-04-18 17:25:00,NA,NA
24,57210,57210,0.90417227,17.73604697,5.240347337,114.5790368,21.54539044,38.94055527,-80.7865687,1.310141476,1.379798461,0.90417227,0.213255917,0.540126465,57210,11442,0.731471226,6.845128656,64,lunge,1.481460479,19.47447813,2.766128392,1,1.919376855,17.99301765,mn13_108a,2013-04-18 17:33:00,NA,NA
25,60354,60354,0.958950588,8.40324615,5.513690157,163.3205098,-53.52153944,39.82773176,-63.45481039,NA,2.952406974,0.958950588,-0.113033761,0.083574842,60354,12070.8,-0.302050007,12.63372484,70,lunge,4.060079326,11.53393455,3.134461385,1.265858516,1.868602869,7.473855226,mn13_108a,2013-04-18 17:43:00,NA,NA
26,61808,61808,0.813208609,20.306206,5.392873065,122.0109728,42.91470115,49.3571219,-69.10813662,2.709421523,2.525724485,0.813208609,0.306863199,0.330054261,61808,12361.6,-0.68905419,11.42446424,72,lunge,3.402457756,23.91902968,3.800958591,1.184213123,2.616745468,20.51657193,mn13_108a,2013-04-18 17:48:00,NA,NA
27,65024,65024,-0.469600168,43.52334505,5.156117355,-56.63697471,-28.45580431,46.4140477,-72.15726513,NA,2.250774586,-0.469600168,-0.415237903,0.76618187,65024,13004.8,-0.098653473,12.00032118,76,lunge,42.18647933,49.58558507,3.554122441,1.848949135,1.705173306,7.399105739,mn13_108a,2013-04-18 17:59:00,NA,NA
28,67276,67276,0.12482524,24.97398801,5.08801538,21.98684332,-20.38281158,21.98684143,-72.88119171,NA,2.00267443,0.12482524,-0.223799184,0.602330886,67276,13455.2,-3.387450986,14.40679242,78,lunge,19.53730209,25.8549122,3.089123285,1,2.106569355,6.317610115,mn13_108a,2013-04-18 18:06:00,NA,NA
29,11867,11867,-0.032471426,16.10157751,5.19532692,124.74974,-58.12655202,62.11507539,-50.97375655,4.347093661,3.873514313,-0.032471426,-0.970768187,0.51712916,11867,2373.4,0.98453274,13.33064385,11,lunge,0.037286602,21.40579495,4.114321409,1.625743827,2.488577582,21.36850835,mn13_109a,2013-04-19 10:06:00,NA,NA
30,32649,32649,-0.510085415,3.800866593,5.467948725,83.02091016,-80.63818268,-48.39011284,-77.83386638,NA,1.763113188,-0.510085415,-0.877969787,0.562943969,32649,6529.8,1.578883278,5.774871326,37,lunge,0.235045929,4.305007607,1.764907131,1,0.962973141,4.069961678,mn13_109a,2013-04-19 11:15:00,NA,NA
