"","X.1","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"1",1,2,1,75.5838560057987,535.8,0.127718062667988,0.8,535,0,2,"none",63.6,471.6,0.118834080717489,0.881165919282511
"2",2,3,2,23.4980537098727,672.6,0.0955965652801041,535.8,136.8,0,NA,"none",66.2,70.8,0.483211678832117,0.516788321167883
"3",3,4,3,23.6125632376006,934.2,0.0171845010127711,672.6,261.6,0,2,"none",58.2,203.6,0.222307104660046,0.777692895339954
"4",4,5,4,13.7452968850694,974.2,0.0407422269180131,934.2,40,0,1,"none",27.8,12.4,0.691542288557214,0.308457711442786
"5",5,6,5,15.6062341463894,1126.2,0.0460652518765627,974.2,152,0,2,"none",44,108.2,0.289093298291721,0.710906701708279
"6",6,7,6,15.9218262795587,1207,0.0704163107472837,1126.2,80.8,1,1,"none",41.4,39.6,0.511111111111111,0.488888888888889
"7",7,8,7,48.4350320352358,1377.4,0.0490415030938394,1207,170.4,1,3,"none",80.8,89.8,0.473622508792497,0.526377491207503
"8",8,9,8,56.27106496821,1583.8,0.0361347557331371,1377.4,206.4,1,2,"none",37.8,168.8,0.18296224588577,0.81703775411423
"9",9,10,9,42.1952307191716,1754.2,0.0430072096582279,1583.8,170.4,1,2,"none",40.6,130,0.237983587338804,0.762016412661196
"10",10,11,10,11.4669458559048,1832.6,0.0672015795792902,1754.2,78.3999999999999,0,2,"none",72.6,6,0.923664122137405,0.0763358778625954
"11",11,12,11,69.6945132229827,2135,0.0259649494365135,1832.6,302.4,2,4,"none",42,260.6,0.138797091870456,0.861202908129544
"12",12,14,13,24.3991211968968,2395.8,0.0597795614638841,2135,260.8,0,3,"none",123.8,137.2,0.474329501915709,0.525670498084291
"13",13,15,14,26.8403758192574,2501.4,0.018320597804383,2395.8,105.6,1,1,"none",25,80.8,0.236294896030246,0.763705103969754
"14",14,16,15,37.0622275834671,2547.8,0.0699619393264967,2501.4,46.4000000000001,1,2,"none",21.2,25.4,0.454935622317597,0.545064377682403
"15",15,17,16,14.062755036342,2615.8,0.01315711504202,2547.8,68,0,2,"none",46,22.2,0.674486803519062,0.325513196480938
"16",16,18,17,51.0184973064563,2728.6,0.0208059066954362,2615.8,112.8,1,1,"none",30.2,82.8,0.267256637168142,0.732743362831858
"17",17,19,18,53.5726210070085,2835,0.0364682295637664,2728.6,106.4,1,1,"none",26.4,80.2,0.24765478424015,0.75234521575985
"18",18,20,19,45.4165785285717,3066.2,-0.00224534385633035,2835,231.2,0,3,"none",67.6,163.8,0.292134831460674,0.707865168539326
"19",19,21,20,19.4798190925873,3143,-0.0406114239797546,3066.2,76.8000000000002,0,1,"none",28.6,48.4,0.371428571428571,0.628571428571429
