"","X","Aw2.1","Aw2.2","Aw2.3","JiggleRMS","ans","head2","p2","pitch2","roll2","speedJJ","r","sec","p","pitch","roll","head","MSA","jerk","dive","speedFN","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag"
"16987",16987,1.12643572782101,0.0410816881889857,-0.0430238921148286,-35.9698608036944,2.82115475100616,0.712092541713343,108.193581748147,1.51803497550764,2.37928283694901,2.82115475100616,16987,3397.4,108.193581748147,173.953994499666,136.322864825092,40.7998972629181,1.2553042727531,7.96669665610448,"6",2.82115475100616,"lunge",78.8029230695702,112.262183877029,3.35441224833959,1.94590011197677,1.40851213636282,33.4592608074588,"mn12_262a"
"18356",18356,-1.07129061863024,0.102413245746123,-0.060175932402535,-26.6835666053187,4.14548600162013,3.47101650194077,124.222141748728,-1.46036814200057,2.10203310786629,4.14548600162013,18356,3671.2,124.222141748728,-167.345862143988,120.437625477506,198.874596181469,0.763504943711144,8.15568084728202,"7",4.14548600162013,"lunge",118.062083546128,151.319126287722,4.15184699702063,1.47276545639699,2.67908154062364,33.257042741594,"mn12_262a"
"18580",18580,0.319867158804835,-0.123838860591091,1.03840190784787,-33.3885735929894,3.13970437653761,2.96546889673855,158.686545969731,0.296833778390006,-0.118698464085187,3.13970437653761,18580,3716,158.686545969731,34.0146454373378,-6.80092102676642,169.908852060435,0.917761763940704,7.84344776681354,"7",3.13970437653761,"lunge",155.398472065703,158.811496137746,3.27043183698773,1.06723933187391,2.20319250511382,3.41302407204299,"mn12_262a"
"18759",18759,0.447540749480936,-0.147884058125237,0.849926524497306,-36.2182705434909,2.79225875489585,-0.924995197197995,153.859354299422,0.478550445136788,-0.17227161150936,2.79225875489585,18759,3751.8,153.859354299422,54.8378415808896,-9.87043626940365,-52.9983208693164,-0.27582969704708,13.2925159425148,"7",2.79225875489585,"lunge",144.870131825007,155.523609015268,3.37249823885916,1.03195299773315,2.34054524112601,10.653477190261,"mn12_262a"
"18940",18940,-0.342433988508232,-0.0866753325256407,0.975805105793946,-42.1546427195809,2.18325267013486,3.37836070629644,158.02499504343,-0.33627240272294,-0.08859192814325,2.18325267013486,18940,3788,158.02499504343,-38.5339788854959,-5.07594358153448,193.565810143622,0.370409839502418,5.74658031901079,"7",2.18325267013486,"lunge",157.067267924106,159.062926023711,2.89106663053168,1.07412628934682,1.81694034118486,1.99565809960498,"mn12_262a"
"19155",19155,-0.0900344519971213,-0.180587831552444,0.849815978402967,-42.3665252174275,2.16416427404871,0.598514906582779,159.276763379551,-0.103263181164337,-0.20938757282477,2.16416427404871,19155,3831,159.276763379551,-11.8330889196227,-11.9970242053475,34.29237812286,-1.24108510099828,13.8705809628065,"7",2.16416427404871,"lunge",157.570920745909,159.943443125805,3.03019445389015,1.03013366090189,2.00006079298826,2.372522379896,"mn12_262a"
"19559",19559,1.08454746176399,-0.169398796045006,0.667196258389109,-35.3028649682683,2.90023035152326,1.2055945965202,154.797019248321,1.00525012416588,-0.248642583395033,2.90023035152326,19559,3911.8,154.797019248321,115.193178939413,-14.246170635765,69.0754821843846,2.79056353829465,14.2316086354632,"7",2.90023035152326,"lunge",146.887540092336,156.125620545515,3.30334247270017,1.00509628484091,2.29824618785926,9.23808045317901,"mn12_262a"
"19718",19718,1.07255722725001,-0.0942348597097304,0.683451756704196,-39.2519275497622,2.46235909285064,-1.15046867123007,148.353392411155,0.999184003756332,-0.137016855438962,2.46235909285064,19718,3943.6,148.353392411155,114.498052744443,-7.85048753880666,-65.916999323507,2.69967627019607,11.9231558965129,"7",2.46235909285064,"lunge",135.448043744596,151.138424717005,3.52535993596257,1.05014413899869,2.47521579696388,15.690380972409,"mn12_262a"
"19870",19870,0.855622310857068,0.0779389521720579,0.251045843402438,-42.9043753320151,2.11645576834286,-2.01093261847382,103.907779554934,1.27272715943811,0.301022595282675,2.11645576834286,19870,3974,103.907779554934,145.843789414956,17.2473242477719,-115.217951923741,-1.02880509813746,8.3534713843236,"7",2.11645576834286,"lunge",76.1859295884375,108.027585374602,3.17381839260849,1.80989818451629,1.3639202080922,31.8416557861645,"mn12_262a"
"21431",21431,-0.392664426394822,-0.0275348058725273,0.802993080549112,-40.7482568216313,2.31429238555802,-0.269563130346613,157.521411876648,-0.45457793055696,-0.0342767853981585,2.31429238555802,21431,4286.2,157.521411876648,-52.0907937614096,-1.96391513859013,-15.4448296811958,-1.03673334311798,9.09974360330414,"8",2.31429238555802,"lunge",156.023499492474,163.391911814973,2.79663485609013,1.16665605387185,1.62997880221828,7.36841232249901,"mn12_262a"
"21588",21588,0.912230912703292,-0.0669447541801692,0.843234286421013,-39.5721698008107,2.42989322970126,-1.99823232216287,150.615283336633,0.823115730839427,-0.0792242883184875,2.42989322970126,21588,4317.6,150.615283336633,94.3221148558508,-4.53921735557692,-114.490278546558,2.39343313539854,11.5692711987298,"8",2.42989322970126,"lunge",141.873723354686,152.695588504047,3.06241106995543,1.16123496173027,1.90117610822516,10.821865149361,"mn12_262a"
